manning_prefactor,Mechanism,PhotonOrder,Process,FWHM_meV,HWHM_meV
0,optical,1,emission,9.96489915121228,4.98244957560614
0,optical,1,absorption,0.962783507809277,0.481391753904639
0,optical,2,emission,4.98245203752104,2.49122601876052
0,optical,2,absorption,0.481406456563512,0.240703228281756
0,piezoelectric,1,emission,2.56218261815653,1.28109130907826
0,piezoelectric,1,absorption,2.65194467884903,1.32597233942452
0,piezoelectric,2,emission,0.973900786070608,0.486950393035304
0,piezoelectric,2,absorption,0.950486440668378,0.475243220334189
0.5,optical,1,emission,10.2697546848165,5.13487734240825
0.5,optical,1,absorption,0.992259953532866,0.496129976766433
0.5,optical,2,emission,5.1348823257578,2.5674411628789
0.5,optical,2,absorption,0.496168480610034,0.248084240305017
0.5,piezoelectric,1,emission,2.58276680686903,1.29138340343452
0.5,piezoelectric,1,absorption,2.67265860188436,1.33632930094218
0.5,piezoelectric,2,emission,0.980908373652483,0.490454186826241
0.5,piezoelectric,2,absorption,0.957651844463349,0.478825922231675
1,optical,1,emission,10.578200333155,5.2891001665775
1,optical,1,absorption,1.02203079162178,0.51101539581089
1,optical,2,emission,5.28910877078273,2.64455438539137
1,optical,2,absorption,0.511103115945385,0.255551557972693
1,piezoelectric,1,emission,2.60396893358133,1.30198446679066
1,piezoelectric,1,absorption,2.69283691944197,1.34641845972099
1,piezoelectric,2,emission,0.988401520941096,0.494200760470548
1,piezoelectric,2,absorption,0.964790943168367,0.482395471584184
1.5,optical,1,emission,10.895645086269,5.44782254313448
1.5,optical,1,absorption,1.05272668615471,0.526363343077353
1.5,optical,2,emission,5.44782972550735,2.72391486275367
1.5,optical,2,absorption,0.526424195523415,0.263212097761707
1.5,piezoelectric,1,emission,2.62586531234035,1.31293265617018
1.5,piezoelectric,1,absorption,2.71513683147867,1.35756841573934
1.5,piezoelectric,2,emission,0.997011414927407,0.498505707463703
1.5,piezoelectric,2,absorption,0.972567295979012,0.486283647989506
2,optical,1,emission,11.2237450910357,5.61187254551786
2,optical,1,absorption,1.08441387036825,0.542206935184126
2,optical,2,emission,5.61187978439551,2.80593989219775
2,optical,2,absorption,0.542227568623666,0.271113784311833
2,piezoelectric,1,emission,2.64827027870341,1.3241351393517
2,piezoelectric,1,absorption,2.7357931178629,1.36789655893145
2,piezoelectric,2,emission,1.00615371517119,0.503076857585594
2,piezoelectric,2,absorption,0.980737476953728,0.490368738476864
