PhotonEnergy_meV,Total_manning_prefactor_0,Total_manning_prefactor_0_5,Total_manning_prefactor_1,Total_manning_prefactor_1_5,Total_manning_prefactor_2,Optical_manning_prefactor_0,Optical_manning_prefactor_0_5,Optical_manning_prefactor_1,Optical_manning_prefactor_1_5,Optical_manning_prefactor_2,Piezoelectric_manning_prefactor_0,Piezoelectric_manning_prefactor_0_5,Piezoelectric_manning_prefactor_1,Piezoelectric_manning_prefactor_1_5,Piezoelectric_manning_prefactor_2
8,2.19394733727636e-07,4.31748478303997e-07,8.41653620279009e-07,1.58082898037745e-06,3.33291692638898e-06,1.91674473973526e-07,3.30193379303461e-07,6.89742026343151e-07,1.35064646863361e-06,2.97976813394384e-06,2.77202597541096e-08,1.01555099000536e-07,1.51911593935859e-07,2.30182511743837e-07,3.53148792445138e-07
8.01,2.1954559142572e-07,4.32082578052447e-07,8.42416922749223e-07,1.58269846106318e-06,3.33844597896963e-06,1.91812613927245e-07,3.30478620015395e-07,6.9042342918005e-07,1.35237569170435e-06,2.98505180935495e-06,2.77329774984752e-08,1.01603958037052e-07,1.51993493569172e-07,2.30322769358823e-07,3.53394169614676e-07
8.02,2.19696607258034e-07,4.32417082125373e-07,8.43181347053261e-07,1.58457153920198e-06,3.34398994376091e-06,1.91950903260806e-07,3.30764230462073e-07,6.91105887347748e-07,1.35410838336916e-06,2.99035013953236e-06,2.77457039972274e-08,1.016528516633e-07,1.52075459705514e-07,2.30463155832821e-07,3.53639804228553e-07
8.03,2.19847781448315e-07,4.32751993012694e-07,8.4394689548655e-07,1.5864482244035e-06,3.34954887622117e-06,1.92089342189654e-07,3.31050211282716e-07,6.91789403069368e-07,1.355844553079e-06,2.99566317957186e-06,2.77584392586606e-08,1.01701781729979e-07,1.52157492417182e-07,2.30603671324502e-07,3.53885696649316e-07
8.04,2.19999114221761e-07,4.3308730991589e-07,8.44713570350519e-07,1.58832852631007e-06,3.35512283206996e-06,1.92227930929617e-07,3.31336563117929e-07,6.92473978573943e-07,1.35758421031728e-06,3.0009909848298e-06,2.77711832921435e-08,1.01750746797961e-07,1.52239591776576e-07,2.30744315992787e-07,3.54131847240153e-07
8.05,2.20150605800453e-07,4.33423033436492e-07,8.45481373952619e-07,1.59021245459683e-06,3.36071186728954e-06,1.92366669696916e-07,3.31623286609702e-07,6.93159616096428e-07,1.35932736459999e-06,3.00633361092464e-06,2.77839361035371e-08,1.0179974682679e-07,1.52321757856191e-07,2.30885089996837e-07,3.54378256364898e-07
8.06,2.203022564123e-07,4.33759164966523e-07,8.46250308606344e-07,1.59210001897189e-06,3.3663160381264e-06,1.9250555870816e-07,3.31910382401415e-07,6.93846317877719e-07,1.36107402547582e-06,3.01169111373838e-06,2.77966977041406e-08,1.01848782565109e-07,1.52403990728625e-07,2.31025993496064e-07,3.54624924388028e-07
8.07,2.2045406628136e-07,4.34095704993136e-07,8.47020376631249e-07,1.59399122917644e-06,3.37193540109273e-06,1.92644598180349e-07,3.32197851137838e-07,6.94534086164678e-07,1.36282420252632e-06,3.01706354941806e-06,2.78094681010101e-08,1.01897853855298e-07,1.52486290466571e-07,2.31167026650126e-07,3.54871851674666e-07
8.08,2.2060603563648e-07,4.34432654307214e-07,8.47791580352969e-07,1.59588609498492e-06,3.37757001296794e-06,1.92783788330878e-07,3.32485693465139e-07,6.95222923210145e-07,1.36457790536599e-06,3.02245097437735e-06,2.78222473056023e-08,1.01946960842075e-07,1.52568657142825e-07,2.31308189618926e-07,3.55119038590587e-07
8.09,2.20758164703585e-07,4.34770013083669e-07,8.48563922103241e-07,1.5977846262051e-06,3.38321993080019e-06,1.92923129377531e-07,3.32773910030888e-07,6.95912831272962e-07,1.36633514364248e-06,3.02785344529798e-06,2.78350353260543e-08,1.01996103052782e-07,1.52651090830278e-07,2.31449482562617e-07,3.55366485502211e-07
